model,repetition,derived_seed,same_turn_fraction,lag1_sign_product,paper_rho_mean_cos_turn,circular_turn_resultant_length,net_displacement,straightness,visited_sites,covered_area
fcrw,2,8872746198721997092,0.2096048024012006,-0.5807903951975988,0.8317966548012796,0.8318066126985737,82.70880417601596,0.0689240034800133,1800.0,648.0
fcrw,3,3308918775408817277,0.19459729864932465,-0.6108054027013506,0.8258116081557589,0.8258119905643718,85.8697557388031,0.07155812978233592,1780.0,640.8
fcrw,4,6687410735334655114,0.20110055027513757,-0.5977988994497249,0.8298103622493895,0.8298130874072973,116.48742786614943,0.09707285655512453,1844.0,663.84
fcrw,5,9838778667234630830,0.19709854927463732,-0.6058029014507254,0.8252490365861301,0.8252566616462498,112.1641521854866,0.09347012682123883,1838.0,661.68
fcrw,6,13643180674581396764,0.21460730365182593,-0.5707853926963482,0.828557449487467,0.8285807546750414,236.77122276187038,0.19730935230155866,1850.0,666.0
fcrw,7,483004358400849633,0.21510755377688845,-0.5697848924462231,0.8218352266560159,0.821835227011506,169.51957810937262,0.14126631509114385,1838.0,661.68
fcrw,8,11517443024282125630,0.21510755377688845,-0.5697848924462231,0.8256090381260671,0.8256979734290536,131.08523294380893,0.10923769411984077,1841.0,662.76
fcrw,9,15522734248400437425,0.20860430215107553,-0.5827913956978489,0.8227724167730647,0.8228207048410672,41.94693818473863,0.034955781820615525,1819.0,654.84
fcrw,10,1851672990866249063,0.2001000500250125,-0.599799899949975,0.825753769623163,0.8258443093419618,157.7437516416612,0.13145312636805098,1832.0,659.52
fcrw,11,9550520517615446179,0.21410705352676337,-0.5717858929464732,0.8274049122338649,0.827405160287175,157.60085709335908,0.13133404757779923,1840.0,662.4
fcrw,12,3548227834323709727,0.1965982991495748,-0.6068034017008505,0.825929011687588,0.8259337415577113,104.75857455519477,0.08729881212932898,1856.0,668.16
fcrw,13,3699101699263330216,0.2096048024012006,-0.5807903951975988,0.8257522703518575,0.8258419690243278,125.00568114597705,0.10417140095498087,1835.0,660.6
fcrw,14,1215548264872075086,0.22161080540270134,-0.5567783891945973,0.8253683726858719,0.8253695185452978,117.40516062372465,0.09783763385310387,1873.0,674.28
fcrw,15,14335555396678937812,0.20710355177588793,-0.5857928964482241,0.8256160784370379,0.8256160897580985,53.480069121688615,0.04456672426807384,1832.0,659.52
fcrw,16,8378028732136569907,0.19109554777388693,-0.6178089044522261,0.8269517579611088,0.8269518093919264,133.27591791234417,0.11106326492695348,1799.0,647.64
fcrw,17,578948226896171785,0.2016008004002001,-0.5967983991995998,0.8317009932881326,0.8317068737108413,109.66293907683671,0.09138578256403058,1846.0,664.56
fcrw,18,8149119857140841576,0.2036018009004502,-0.5927963981990996,0.8349233949114894,0.8349260671526268,79.88397106987027,0.06656997589155855,1838.0,661.68
fcrw,19,14397850607575553571,0.19809904952476237,-0.6038019009504753,0.8294471505138498,0.829527440545435,42.56252065573267,0.035468767213110555,1783.0,641.88
fcrw,20,16941695432490799652,0.2046023011505753,-0.5907953976988495,0.824331455276641,0.8243377355441889,196.8252321163568,0.16402102676363067,1832.0,659.52
fcrw,21,1034442222569659073,0.2066033016508254,-0.5867933966983492,0.8244895164877871,0.8246136803890518,184.1346827983827,0.15344556899865225,1854.0,667.4399999999999
fcrw,22,2926203055212494152,0.20710355177588793,-0.5857928964482241,0.8323749540556602,0.8323800188934358,36.808078094051616,0.03067339841170968,1808.0,650.88
fcrw,23,2920376189051603082,0.20560280140070036,-0.5887943971985993,0.8251581650764297,0.825166804732549,213.71643192459115,0.17809702660382595,1842.0,663.12
fcrw,24,15428219856939982600,0.20410205102551277,-0.5917958979489745,0.8291791212923942,0.8293126826873877,117.83055565945291,0.09819212971621076,1831.0,659.16
fcrw,25,5307660118015428364,0.18809404702351176,-0.6238119059529765,0.8265552357754213,0.8265581993485394,99.10694531304476,0.08258912109420397,1803.0,649.0799999999999
fcrw,26,11364125584919398181,0.19959979989994997,-0.6008004002001001,0.8281819290247149,0.8281868665750168,78.16716068472876,0.0651393005706073,1851.0,666.36
fcrw,27,13102835308350598431,0.19009504752376188,-0.6198099049524762,0.82608604812379,0.8260860481682191,187.50181857166285,0.15625151547638572,1868.0,672.48
fcrw,28,521423223715956956,0.1950975487743872,-0.6098049024512256,0.820768220743213,0.8207690322719436,140.58053594979006,0.11715044662482504,1857.0,668.52
fcrw,29,13926826474286693236,0.2191095547773887,-0.5617808904452226,0.8272208433220746,0.8272338625688744,178.61255017051843,0.14884379180876536,1831.0,659.16
fcrw,30,15850552518137613492,0.19409704852426213,-0.6118059029514757,0.8261892032769668,0.8262381074064995,145.3111304978724,0.121092608748227,1857.0,668.52
fcrw,31,7579144290885089910,0.19559779889944973,-0.6088044022011005,0.8266653931230652,0.8266659724187635,54.05939414286354,0.04504949511905295,1858.0,668.88
fcrw,32,10679110979632747372,0.18209104552276137,-0.6358179089544772,0.8274875588462324,0.8274884485102589,101.52234306372407,0.08460195255310339,1872.0,673.92
fcrw,33,15493302548901443828,0.1965982991495748,-0.6068034017008505,0.8215731933574011,0.8215828278079066,171.63327290650608,0.14302772742208839,1885.0,678.6
fcrw,34,9229794662277260833,0.2051025512756378,-0.5897948974487244,0.8309648791661282,0.8309651533527465,86.04093474817769,0.07170077895681475,1846.0,664.56
fcrw,35,2592494647334734567,0.19159579789894948,-0.616808404202101,0.8282383811117231,0.8282386081593857,58.82322502072396,0.04901935418393663,1850.0,666.0
fcrw,36,56904758841331669,0.2001000500250125,-0.599799899949975,0.8243941177680753,0.824504934983345,116.41968332567431,0.09701640277139525,1824.0,656.64
fcrw,37,17354357473434564091,0.19009504752376188,-0.6198099049524762,0.8265818432541662,0.8267369666349138,61.919814503129686,0.05159984541927474,1813.0,652.68
fcrw,38,16132212470272516371,0.1950975487743872,-0.6098049024512256,0.8228204454315325,0.8228501009001599,111.03923298842824,0.09253269415702353,1799.0,647.64
fcrw,39,6011516438193596589,0.21010505252626313,-0.5797898949474737,0.8313649239030895,0.8313657149355371,113.5349821439092,0.09461248511992433,1845.0,664.1999999999999
fcrw,40,14858235455629474649,0.21160580290145073,-0.5767883941970986,0.8219251213555804,0.8219510381460564,169.97005096663463,0.1416417091388622,1819.0,654.84
fcrw,41,14537227500129300051,0.19809904952476237,-0.6038019009504753,0.8274355479234892,0.827443844759463,39.76509720640583,0.03313758100533819,1853.0,667.0799999999999
fcrw,42,15152328282198498312,0.21460730365182593,-0.5707853926963482,0.8235407749247774,0.8235440730633258,198.62036177334946,0.16551696814445788,1826.0,657.36
fcrw,43,2140964075227376683,0.19409704852426213,-0.6118059029514757,0.8232224905617762,0.823222515389056,82.1747723428993,0.06847897695241609,1815.0,653.4
fcrw,44,2684981829364866099,0.19759879939969985,-0.6048024012006002,0.8314296915895172,0.8314309107536384,56.649225869803004,0.047207688224835835,1886.0,678.9599999999999
fcrw,45,9599586059345064955,0.2016008004002001,-0.5967983991995998,0.8245930948982216,0.8245968049794028,61.08389612891137,0.05090324677409281,1849.0,665.64
fcrw,46,13102058059929370947,0.19409704852426213,-0.6118059029514757,0.8281927686079634,0.8281928767432454,87.72775395750416,0.07310646163125346,1807.0,650.52
fcrw,47,17793729416019854215,0.2016008004002001,-0.5967983991995998,0.8232792679091456,0.8232956178759019,179.67352065110273,0.14972793387591896,1818.0,654.48
fcrw,48,570157189135332327,0.1950975487743872,-0.6098049024512256,0.8243652498663525,0.8243689801642725,140.54329266468892,0.11711941055390743,1844.0,663.84
fcrw,49,43605127669877910,0.20410205102551277,-0.5917958979489745,0.8258416302274115,0.8258841734555722,148.84694444308744,0.12403912036923953,1830.0,658.8
zw,0,248195091112249827,0.17708854427213608,-0.6458229114557279,0.8274670669913827,0.8275055044749239,43.72679839861612,0.03643899866551343,1845.0,664.1999999999999
zw,1,14788035960499098258,0.18209104552276137,-0.6358179089544772,0.8241759830670506,0.8242010664381696,24.855683081447406,0.020713069234539506,1841.0,662.76
zw,2,10176144183876728665,0.1805902951475738,-0.6388194097048524,0.8281202909108079,0.8281232194387029,118.75871947475243,0.09896559956229369,1835.0,660.6
zw,3,2582078447362413924,0.1805902951475738,-0.6388194097048524,0.8304949359622463,0.8304949422842571,99.66851845288905,0.08305709871074086,1845.0,664.1999999999999
zw,4,11590774022009774553,0.1570785392696348,-0.6858429214607303,0.8286069015861663,0.8286184450950461,21.0249935461994,0.017520827955166168,1844.0,663.84
zw,5,231587038921376536,0.16858429214607304,-0.662831415707854,0.8271610321043869,0.8271643378852885,290.8806690534603,0.24240055754455023,1879.0,676.4399999999999
zw,6,2239511688165827395,0.1695847923961981,-0.6608304152076038,0.8174489877143858,0.8174581904868301,136.3590512256438,0.1136325426880365,1802.0,648.72
zw,7,13416445305262266628,0.1615807903951976,-0.6768384192096047,0.8309885085931575,0.8310034054788207,146.40160372357875,0.12200133643631562,1861.0,669.9599999999999
zw,8,6331436743819552465,0.16808404202101052,-0.663831915957979,0.8258426408532564,0.8258455775626781,155.22581138934916,0.12935484282445764,1875.0,675.0
zw,9,8842446868128406444,0.17958979489744872,-0.6408204102051025,0.8234358940356742,0.8234570274376821,230.14728118216067,0.1917894009851339,1888.0,679.68
zw,10,12456182496764501002,0.1775887943971986,-0.6448224112056028,0.83623883087696,0.8362758632544502,59.840380331489364,0.04986698360957447,1874.0,674.64
zw,11,1986061163656185263,0.17158579289644824,-0.6568284142071036,0.826332270471685,0.8263704539043525,86.35080745943989,0.07195900621619991,1864.0,671.04
zw,12,3735885577186747380,0.16858429214607304,-0.662831415707854,0.8239940695465752,0.8240317133340145,189.19469912690332,0.15766224927241942,1866.0,671.76
zw,13,13046513848206023748,0.17708854427213608,-0.6458229114557279,0.8296247310771238,0.82962920197169,58.47424872558925,0.04872854060465771,1836.0,660.9599999999999
zw,14,6179989166104163246,0.16258129064532267,-0.6748374187093547,0.8224048208995466,0.8224100523970641,90.21887616100317,0.07518239680083597,1831.0,659.16
zw,15,1862319910259343394,0.16708354177088544,-0.6658329164582291,0.8289041154624299,0.8289054412662465,235.48851922233706,0.19624043268528088,1857.0,668.52
zw,16,6038186443080758449,0.17108554277138568,-0.6578289144572286,0.8263740084449385,0.8264272277483123,30.528675922958367,0.025440563269131973,1850.0,666.0
zw,17,5619830040352329343,0.16858429214607304,-0.662831415707854,0.8283565215390886,0.8284104035940763,151.8724557638091,0.12656037980317425,1866.0,671.76
zw,18,9739707657053023112,0.17208604302151076,-0.6558279139569785,0.8261478741190277,0.8261510168242995,139.78218028541224,0.11648515023784353,1854.0,667.4399999999999
zw,19,399211763630494218,0.1790895447723862,-0.6418209104552276,0.8249369011830463,0.8250006828702741,193.48265269427876,0.16123554391189895,1873.0,674.28
zw,20,14964772452236830526,0.1730865432716358,-0.6538269134567284,0.8231685283114205,0.8231809319395262,147.33939053621552,0.12278282544684627,1862.0,670.3199999999999
zw,21,10361975788750745973,0.1805902951475738,-0.6388194097048524,0.828667150975426,0.8286681473847677,247.31153807940018,0.20609294839950015,1890.0,680.4
zw,22,10618863255912514254,0.15907953976988495,-0.6818409204602301,0.8252862884257383,0.8253074637805857,36.781035938384925,0.030650863281987437,1861.0,669.9599999999999
zw,23,6418538908429504055,0.16908454227113556,-0.6618309154577289,0.8284657035207362,0.8284691314197412,326.49854590423575,0.2720821215868631,1862.0,670.3199999999999
zw,24,17225433664550813716,0.17008504252126064,-0.6598299149574788,0.8190863701263393,0.8190900711102925,144.51842182773686,0.12043201818978072,1859.0,669.24
zw,25,4624702388921186154,0.1585792896448224,-0.6828414207103551,0.8331510726493438,0.8331521350811594,62.765135916899595,0.05230427993074966,1873.0,674.28
zw,26,9190812265483576460,0.1695847923961981,-0.6608304152076038,0.8311703727849574,0.8311713772950008,13.912304611538474,0.01159358717628206,1766.0,635.76
zw,27,9063235722613026157,0.16858429214607304,-0.662831415707854,0.8315193993838368,0.8315319836176545,135.19570488768207,0.11266308740640173,1874.0,674.64
zw,28,11220621971904646591,0.17058529264632316,-0.6588294147073537,0.8230144185573665,0.823014996421569,77.87705577909855,0.06489754648258213,1854.0,667.4399999999999
zw,29,12666530200099375085,0.18309154577288644,-0.6338169084542271,0.8264493982709482,0.8264760572044675,41.391558386412605,0.0344929653220105,1859.0,669.24
zw,30,6636246579659814893,0.18359179589794897,-0.632816408204102,0.8311782934909154,0.8311808586695887,79.54487559748192,0.06628739633123493,1841.0,662.76
zw,31,12501505362262273969,0.16908454227113556,-0.6618309154577289,0.8235611038794166,0.82359751290807,128.86900261359918,0.10739083551133265,1845.0,664.1999999999999
zw,32,13762820536386390038,0.1730865432716358,-0.6538269134567284,0.8256666545503347,0.8257042310454532,216.19818356750088,0.1801651529729174,1874.0,674.64
zw,33,10674528424183025982,0.1730865432716358,-0.6538269134567284,0.8251424092787855,0.825201895640342,189.0317314759356,0.157526442896613,1874.0,674.64
zw,34,5495104475615788941,0.18509254627313657,-0.6298149074537268,0.8249001177083706,0.8249075065413367,101.58761510575022,0.08465634592145851,1841.0,662.76
zw,35,12031645266024504946,0.1730865432716358,-0.6538269134567284,0.8254610774477567,0.8255016026176287,56.08299757820957,0.04673583131517464,1878.0,676.0799999999999
zw,36,2241349791389715656,0.17158579289644824,-0.6568284142071036,0.8268746918097707,0.8268798179010093,62.08294722758058,0.051735789356317154,1852.0,666.72
zw,37,4344297005447018816,0.17508754377188596,-0.6498249124562281,0.8269602564798754,0.8270252677322277,77.0574520154116,0.06421454334617634,1864.0,671.04
zw,38,4582880726348845268,0.1775887943971986,-0.6448224112056028,0.8276951099593972,0.8278118554667601,168.3792383222217,0.14031603193518477,1858.0,668.88
zw,39,17003645327034808538,0.17258629314657328,-0.6548274137068534,0.8317259189591819,0.8317969492793841,83.27613751433711,0.0693967812619476,1834.0,660.24
zw,40,11559702857878360644,0.16758379189594796,-0.6648324162081041,0.823843940108194,0.8238528857192211,24.86734234934771,0.02072278529112309,1753.0,631.0799999999999
zw,41,9864591734758079575,0.18259129564782392,-0.6348174087043522,0.8273550602256976,0.8273578037161923,77.77285111874893,0.06481070926562411,1838.0,661.68
zw,42,1448758291243606421,0.16708354177088544,-0.6658329164582291,0.832349586732056,0.8323546289528926,170.79422873434467,0.14232852394528722,1877.0,675.72
zw,43,15207076124249583168,0.1730865432716358,-0.6538269134567284,0.8266647109683515,0.8268572217558844,107.62844713245823,0.08969037261038186,1861.0,669.9599999999999
zw,44,16788766970229463250,0.176088044022011,-0.647823911955978,0.8273258971518804,0.8273269837937791,136.69161795322665,0.11390968162768887,1890.0,680.4
zw,45,7847887069263241214,0.17058529264632316,-0.6588294147073537,0.826267295404989,0.8262806642075513,133.45564461115612,0.11121303717596343,1865.0,671.4
zw,46,3720242625889642486,0.16908454227113556,-0.6618309154577289,0.8191815421049279,0.819201886054996,166.26135656101235,0.1385511304675103,1852.0,666.72
zw,47,7746396047791625658,0.17958979489744872,-0.6408204102051025,0.8272660933294619,0.8274191505895137,50.12524195423462,0.04177103496186218,1823.0,656.28
zw,48,12379803167355806210,0.16558279139569784,-0.6688344172086043,0.8280140169284296,0.8280153210947557,137.36368225427418,0.11446973521189516,1864.0,671.04
zw,49,18291346965888370305,0.16908454227113556,-0.6618309154577289,0.8265613514199412,0.8265752993749597,135.51333434454202,0.11292777862045168,1864.0,671.04
