time,ant_id,from_role,to_role,reason,x,y
905,7,transporter,follower,food_deposited_at_nest,13.746876860487575,14.326759287261634
906,0,follower,transporter,food_reached_from_trail,27.56844833288775,23.755925162872703
911,3,follower,transporter,food_reached_from_trail,29.571556941933657,29.236052864043895
915,8,transporter,follower,food_deposited_at_nest,9.257120311015008,12.509953762433682
919,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
922,5,transporter,follower,food_deposited_at_nest,11.057457727538393,9.175095926424358
925,4,transporter,follower,food_deposited_at_nest,14.613016255892662,12.659614685290636
926,2,follower,transporter,food_reached_from_trail,27.07744774755154,30.237635644115116
934,7,follower,transporter,food_reached_from_trail,27.68792020464605,23.653670711774993
935,0,transporter,follower,food_deposited_at_nest,13.648984083956883,14.400136717513197
938,6,transporter,follower,food_deposited_at_nest,14.870586632723317,11.778673174788112
949,9,follower,transporter,food_reached_from_trail,28.5733416356724,23.92976327328005
959,4,follower,transporter,food_reached_from_trail,30.026509604641344,25.19046075441433
963,0,follower,transporter,food_reached_from_trail,27.063826003598663,23.423013583504726
963,7,transporter,follower,food_deposited_at_nest,13.746876860487575,14.326759287261634
967,3,transporter,follower,food_deposited_at_nest,13.492061710398492,9.445194056986743
975,1,transporter,follower,food_deposited_at_nest,9.338049333586929,10.65739563127944
977,6,follower,transporter,food_reached_from_trail,30.421074159389374,27.304148119810453
977,8,follower,transporter,food_reached_from_trail,26.80053788381657,30.51879488180582
979,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
985,2,transporter,follower,food_deposited_at_nest,10.237220686686005,14.309550827532306
991,0,transporter,follower,food_deposited_at_nest,13.648984083956883,14.400136717513197
992,5,follower,transporter,food_reached_from_trail,30.077528827893346,28.86253534739984
992,7,follower,transporter,food_reached_from_trail,27.62913288340183,23.729378826665766
993,4,transporter,follower,food_deposited_at_nest,14.613016255892662,12.659614685290636
