time,sensing_steps,hit_count,miss_rate,mean_candidate_cell_count,mean_hit_axis_error_deg,mean_local_continuity_axis_change_deg
8554,87,86,0.011494252873563218,5.724137931034483,41.48725720835641,14.202235381972184
8555,87,86,0.011494252873563218,5.724137931034483,40.89503208218398,11.88601741904671
8556,87,86,0.011494252873563218,5.67816091954023,42.31672040618185,12.475594734049363
8557,87,86,0.011494252873563218,5.689655172413793,38.35441832380465,14.543533425571272
8558,87,86,0.011494252873563218,5.7011494252873565,38.67175602174241,14.487480097892162
8559,87,86,0.011494252873563218,5.689655172413793,41.51295030572695,12.748833453000556
8560,87,85,0.022988505747126436,5.620689655172414,40.66240919206774,12.609376374563835
8561,87,86,0.011494252873563218,5.689655172413793,43.806384258787965,13.816078820571938
8562,87,86,0.011494252873563218,5.574712643678161,40.28439709366507,13.086225642099187
8563,87,86,0.011494252873563218,5.540229885057471,39.651304603213354,14.05302530190323
8564,87,86,0.011494252873563218,5.494252873563219,42.69132819713075,14.077210527781117
8565,87,86,0.011494252873563218,5.471264367816092,41.3181371688831,12.529765931412916
8566,87,86,0.011494252873563218,5.505747126436781,42.1068655872036,13.966711964259275
8567,87,85,0.022988505747126436,5.482758620689655,43.31171455089877,11.681063866205333
8568,87,85,0.022988505747126436,5.344827586206897,42.24564543822896,15.64155944063899
8569,87,85,0.022988505747126436,5.32183908045977,42.13308156765807,17.81541628540436
8570,87,85,0.022988505747126436,5.333333333333333,40.141217085580756,14.50351979123232
8571,87,85,0.022988505747126436,5.436781609195402,42.565599132164046,11.910256808558966
8572,87,85,0.022988505747126436,5.482758620689655,42.443575168036645,9.297059357336362
8573,87,86,0.011494252873563218,5.264367816091954,40.53070378060776,13.438023549803003
8574,87,86,0.011494252873563218,5.367816091954023,46.01312680937528,11.938542369818341
8575,87,86,0.011494252873563218,5.333333333333333,43.319983006175285,12.960400559428113
8576,87,86,0.011494252873563218,5.586206896551724,40.95549531052569,14.70260685723632
8577,87,87,0.0,5.436781609195402,41.02092961541254,14.072705440837208
8578,87,86,0.011494252873563218,5.287356321839081,43.51128522410459,10.52814966069553
8579,87,87,0.0,5.344827586206897,39.347878105929844,12.77305595927676
8580,87,86,0.011494252873563218,5.448275862068965,42.93265979947106,16.03783598896092
8581,87,86,0.011494252873563218,5.64367816091954,42.394835391270945,9.826536494243099
8582,87,86,0.011494252873563218,5.632183908045977,43.15204064927643,12.4882419113373
8583,87,85,0.022988505747126436,5.517241379310345,43.75770650220672,13.846105193820883
8584,87,85,0.022988505747126436,5.517241379310345,46.56945270074306,13.900276550725547
8585,87,85,0.022988505747126436,5.574712643678161,44.06225487186068,12.307039975548653
8586,87,85,0.022988505747126436,5.609195402298851,42.52654332294,14.315437112116062
8587,87,85,0.022988505747126436,5.620689655172414,43.15884750109718,14.605224640896235
8588,87,85,0.022988505747126436,5.413793103448276,42.54897477262909,14.504337071526416
8589,87,85,0.022988505747126436,5.459770114942529,43.07335718209146,12.335674418435104
8590,87,85,0.022988505747126436,5.471264367816092,41.7321488939755,15.09049806430462
8591,87,84,0.034482758620689655,5.505747126436781,43.5498360729887,16.07664127124478
8592,87,86,0.011494252873563218,5.574712643678161,42.74090881961398,16.258146256615312
8593,87,86,0.011494252873563218,5.344827586206897,45.170795418672114,12.118239758458436
8594,87,86,0.011494252873563218,5.310344827586207,46.068493192988164,12.074035852754795
8595,87,86,0.011494252873563218,5.287356321839081,46.16781480742233,14.202779857211322
8596,87,86,0.011494252873563218,5.344827586206897,44.9789531415453,12.171777516386216
8597,87,86,0.011494252873563218,5.310344827586207,42.77343609948917,11.172004315417244
8598,87,86,0.011494252873563218,5.402298850574713,44.74379523206107,13.201841153618428
8599,87,86,0.011494252873563218,5.333333333333333,45.16066244537251,12.495761772894168
8600,87,86,0.011494252873563218,5.333333333333333,46.39019779465362,12.368198301333868
8601,87,85,0.022988505747126436,5.413793103448276,43.770330299996274,14.008655194302623
8602,87,85,0.022988505747126436,5.390804597701149,42.12442653612742,12.505240828514056
8603,87,86,0.011494252873563218,5.540229885057471,46.14143394539724,13.59559789765657
8604,87,86,0.011494252873563218,5.494252873563219,45.061226244137444,18.667021916292857
8605,87,86,0.011494252873563218,5.367816091954023,46.19857619696032,12.778015152894293
8606,87,86,0.011494252873563218,5.32183908045977,47.4564316519303,11.461364944927617
8607,87,85,0.022988505747126436,5.344827586206897,45.28128288718241,11.929512611905498
8608,87,85,0.022988505747126436,5.390804597701149,43.62800265633306,12.994617049562024
8609,87,85,0.022988505747126436,5.448275862068965,43.39602019379753,13.814766170088767
8610,87,85,0.022988505747126436,5.632183908045977,43.97157589882754,15.806250717017814
8611,87,85,0.022988505747126436,5.540229885057471,42.35986255713823,12.29816519655619
8612,87,85,0.022988505747126436,5.620689655172414,43.26447302952505,11.979588876927037
8613,87,84,0.034482758620689655,5.632183908045977,42.1558558727413,15.591683868507252
8614,87,84,0.034482758620689655,5.333333333333333,42.53733039040907,14.94787074325282
8615,87,83,0.04597701149425287,5.390804597701149,43.246218654102286,14.725508498452387
8616,87,84,0.034482758620689655,5.459770114942529,42.51224182908759,13.503651016975128
8617,87,85,0.022988505747126436,5.505747126436781,45.29336318047138,12.920298709214498
8618,87,85,0.022988505747126436,5.632183908045977,43.647613752827304,12.585821203622757
8619,88,86,0.022727272727272728,5.7272727272727275,41.880816348257824,15.029671006109417
8620,88,86,0.022727272727272728,5.613636363636363,44.923000020206096,14.113924465686546
8621,88,86,0.022727272727272728,5.568181818181818,43.646553313368806,11.986760615120103
8622,88,85,0.03409090909090909,5.4772727272727275,46.998068358425954,12.47482947022584
8623,88,85,0.03409090909090909,5.465909090909091,46.41485802994469,13.202970030644046
8624,88,86,0.022727272727272728,5.6022727272727275,43.550954167550536,12.065777420429281
8625,88,86,0.022727272727272728,5.6477272727272725,42.35978311605984,13.72850187822365
8626,88,86,0.022727272727272728,5.75,42.81857552842401,14.986873705332494
8627,88,87,0.011363636363636364,5.863636363636363,43.07672624774802,16.089137207145644
8628,88,87,0.011363636363636364,5.840909090909091,46.775866276341915,18.463760616625176
8629,88,87,0.011363636363636364,5.613636363636363,42.98215064531987,18.442322577561292
8630,88,87,0.011363636363636364,5.636363636363637,43.14667188641229,14.259003186181943
8631,88,86,0.022727272727272728,5.465909090909091,44.9165212942056,15.13630645134835
8632,88,86,0.022727272727272728,5.6022727272727275,43.882478849525434,14.65655543062878
8633,88,87,0.011363636363636364,5.454545454545454,44.357454497677004,15.492796752401714
8634,88,86,0.022727272727272728,5.488636363636363,46.22509547976387,12.229933760581956
8635,88,87,0.011363636363636364,5.5,43.34373759338028,11.679501508503854
8636,88,87,0.011363636363636364,5.488636363636363,46.714519470944325,17.82488558024809
8637,88,87,0.011363636363636364,5.511363636363637,46.66454615686763,13.527280983632586
8638,88,87,0.011363636363636364,5.443181818181818,45.62690134200092,15.305048541778975
8639,88,87,0.011363636363636364,5.215909090909091,42.040111372870925,16.652084041312516
8640,88,86,0.022727272727272728,5.329545454545454,40.47235976122313,12.041239530541247
8641,88,86,0.022727272727272728,5.363636363636363,47.770053541196425,15.629471281219248
