time,role,sample_count,axis_angle_rad,mean_axial_error_rad,median_axial_error_rad,p90_axial_error_rad,mean_axial_error_deg,median_axial_error_deg,p90_axial_error_deg,mean_signed_axis_velocity,mean_abs_axis_velocity,mean_signed_perpendicular_velocity,mean_abs_perpendicular_velocity,sample_too_small,interpretation_warning
3807,follower,69,0.7853981633974483,0.8304622428683254,0.7853981633974484,1.358920764587978,47.581981561323396,45.00000000000001,77.86042450358204,0.009197351597939144,0.3771616801093498,-0.07317178771931511,0.4139647991144582,False,
3808,forager,15,0.7853981633974483,0.723493732167187,0.7774962237598917,1.3610334594423001,41.45313735734818,44.54725220880087,77.9814730021337,0.009103534712609081,0.3962732412209253,-0.005731912623756532,0.3503612641284813,False,
3808,transporter,16,0.7853981633974483,0.6909170776684287,0.7853981633974483,1.5201970073397773,39.58663254391347,45.0,87.10087254898747,0.01762356539254003,0.4056014304286156,0.10555347262422607,0.3300520250453398,False,
3808,follower,69,0.7853981633974483,0.8214574092761228,0.7853981633974484,1.3494602161674878,47.06604260127256,45.00000000000001,77.31837500720879,-0.014762582918693798,0.377701201259954,-0.05173179236122591,0.40856707301004574,False,
3809,forager,15,0.7853981633974483,0.7914747886819281,0.7090968888310708,1.525046525521294,45.348164982483176,40.62825899587768,87.37872947346033,0.006993642136298713,0.37561380303738096,-0.0954916141793054,0.3760729694023469,False,
3809,transporter,16,0.7853981633974483,0.6610435931190137,0.7734004206285334,1.5201970073397821,37.875007959882716,44.31257997565758,87.10087254898775,0.02472191250686009,0.4116606119233851,0.141961694278673,0.31342723811079576,False,
3809,follower,69,0.7853981633974483,0.8366749134862037,0.7853981633974484,1.411524782941199,47.93794136723275,45.00000000000001,80.87441274065033,-0.01398208004631895,0.3701603806350496,-0.06430247065378744,0.41239120592452533,False,
3810,forager,15,0.7853981633974483,0.8010387270878703,0.806657706294999,1.4096796405058425,45.89613828866674,46.21808208240698,80.76869386650391,0.03790869314566165,0.37380720384631216,0.016238868918647117,0.38605112991243934,False,
3810,transporter,16,0.7853981633974483,0.6760067786663732,0.7734004206285321,1.5201970073398021,38.73233533981756,44.3125799756575,87.10087254898889,0.04900051433567255,0.40319356952699414,0.1448819378627551,0.3163474816948762,False,
3810,follower,69,0.7853981633974483,0.8366148806040488,0.7853981633974484,1.4356631354255258,47.93450173645327,45.00000000000001,82.25743846240137,-0.016656581989414682,0.3724768206434329,-0.05323578594516546,0.4137923767998613,False,
3811,forager,15,0.7853981633974483,0.8627717043836597,0.9699451896564671,1.3532068708215408,49.43317734449241,55.57376572633176,77.53304250617907,-0.028304539291427993,0.3558720736714747,-0.07715059920571203,0.4191401157731446,False,
3811,transporter,16,0.7853981633974483,0.6864675265868527,0.7734004206285349,1.4549135069310855,39.331692046211295,44.31257997565766,83.36040350372885,0.04559340543727733,0.40636014998321324,0.13669086596879096,0.32815508346349187,False,
3811,follower,69,0.7853981633974483,0.8340305578101159,0.7853981633974484,1.3382979639875523,47.78643094746146,45.00000000000001,76.67882506743778,-0.03576050067008741,0.3759218716855031,-0.035308538830835096,0.4154478778693726,False,
3812,forager,15,0.7853981633974483,0.6948502663044864,0.5171772865643749,1.320763234602039,39.81198765278839,29.632075780166616,75.67415907874386,-0.04088202042487146,0.41669571129682803,-0.02937214971763619,0.3439914767300421,False,
3812,transporter,16,0.7853981633974483,0.6619137046846182,0.6565563980511948,1.4549135069310943,37.92486168029737,37.61791062064477,83.36040350372934,0.05455159508688679,0.41458158715429233,0.11738954778367647,0.3154615579124048,False,
3812,follower,69,0.7853981633974483,0.8415283626007607,0.7853981633974484,1.3526784413545396,48.21602351757838,45.00000000000001,77.50276572794957,-0.04982509513615941,0.37566328717869135,-0.03352360332988385,0.4207186535390587,False,
3813,forager,15,0.7853981633974483,0.8018588132142185,0.9096144621287345,1.3815068113456725,45.94312576254372,52.117069664038944,79.15450965868307,0.007362695601168531,0.3810284222655195,-0.010233737489026073,0.3951110618380783,False,
3813,transporter,16,0.7853981633974483,0.6649013412970932,0.6565563980511981,1.4788145998308866,38.09604064891095,37.61791062064496,84.72983525263754,0.04050069241162598,0.4128209303971361,0.11772544367782589,0.3157974538065559,False,
3813,follower,69,0.7853981633974483,0.822764605742037,0.7853981633974484,1.4601960520376767,47.14093944176386,45.00000000000001,83.663071043424,-0.04467798600852613,0.3771834468068133,-0.02708510754627671,0.40698648591028286,False,
3814,forager,15,0.7853981633974483,0.7617403419302953,0.7174325545577177,1.4286979154853245,43.64450667745813,41.1058574614464,81.85836075644748,0.027800808662693726,0.39459099289293526,-0.07480953930882928,0.3722703332826069,False,
3814,transporter,16,0.7853981633974483,0.6330822414098247,0.6974590471999991,1.4656623359612575,36.27294051746527,39.961459787775624,83.9762660418654,0.014041712295079382,0.42868142088910655,0.04927251836023943,0.3064227521992611,False,
3814,follower,69,0.7853981633974483,0.8176497409811608,0.7853981633974484,1.3356530964206466,46.84787927818546,45.00000000000001,76.52728531848305,-0.03386255122493396,0.38443506306823944,-0.023097596509862074,0.4114349997924162,False,
