ant_id,start_time,delivery_time,endpoint_distance,actual_return_distance,efficiency
93,3110,6088,212.14074178069126,1786.7999999999117,0.11872662960639228
27,5781,6244,210.35443595821872,277.7999999999991,0.7572153922182123
89,5847,6304,209.80572760338165,274.19999999999897,0.7651558264164203
69,5902,6341,209.03105236185414,262.98068428062595,0.7948532529438462
32,5676,6345,213.0714532935067,401.4000000000038,0.5308207605717605
67,5743,6352,212.30807645811672,365.37163594613276,0.5810743242516438
86,5475,6402,213.8455049941973,555.7809916114921,0.38476577684700997
66,5530,6426,211.31550157700642,537.6000000000089,0.39307198954055605
96,3280,6429,207.89212012687298,1889.3999999998962,0.11003076115533207
47,3351,6566,217.82577597162307,1928.9999999998902,0.11292160496196758
91,3458,6602,215.20570201809662,1886.3999999998966,0.11408275128186408
45,3974,6636,209.65070200099595,1597.1999999999405,0.1312613961939668
5,3386,6638,214.2721712467176,1951.1999999998868,0.10981558591980833
22,3884,6742,214.8900138720426,1714.7999999999226,0.1253149136179451
87,3489,6834,211.15171360799425,2006.9999999998784,0.10520763009865822
11,3572,7002,212.37285123423868,2057.999999999871,0.10319380526445676
82,5964,7093,212.40189818065906,677.4000000000142,0.3135546179224308
29,3752,7186,214.01222184299218,2060.3999999998705,0.10386925929091712
16,3773,7238,215.54375178629434,2078.9999999998677,0.10367664828586245
67,6825,7279,211.79871840186587,272.3999999999989,0.777528334808615
13,3740,7307,208.95172095150434,2140.1999999998584,0.09763186662532387
32,6851,7321,213.0651225097041,281.99999999999926,0.7555500798216478
66,6893,7346,211.91793933585606,271.79999999999893,0.7796833676815927
77,3757,7359,208.4006602361055,2161.199999999855,0.09642821591528755
