time,forager_count,forager_phi,forager_psi,forager_sufficient,transporter_count,transporter_phi,transporter_psi,transporter_sufficient,follower_count,follower_phi,follower_psi,follower_sufficient
7639,0,,,False,8,0.006992990396059995,0.671734505645808,True,92,0.07143101182561244,0.6622082900112797,True
7640,0,,,False,8,-0.24866948830163052,0.6734386751491923,True,92,0.06244020900609444,0.6699808404572749,True
7641,0,,,False,8,0.10168328480955799,0.704723837421548,True,92,0.04206009407646552,0.6700108677658949,True
7642,0,,,False,8,0.16323378339052635,0.725575188398854,True,92,-0.06221040283960411,0.6851660518931241,True
7643,0,,,False,8,0.22928831939967248,0.7686532360339146,True,92,-0.09380528316572936,0.665337489502867,True
7644,0,,,False,8,-0.09533504279048136,0.7356367738087108,True,92,0.0025701031071179016,0.6482407060350575,True
7645,0,,,False,8,0.10982682720965795,0.6452891670137971,True,92,0.001184409575608522,0.634197900270949,True
7646,0,,,False,8,0.11008318489880431,0.718579776417795,True,92,-0.2506241010824754,0.6814891082211048,True
7647,0,,,False,8,0.10072990468866905,0.7163051221320578,True,92,-0.013352500403845243,0.6617709012124491,True
7648,0,,,False,8,-0.11087035220635172,0.6828181136399708,True,92,-0.05140498779020937,0.6923995391550479,True
7649,0,,,False,8,-0.1210840691054488,0.6469661762465946,True,92,-0.0032213020728278675,0.6622269554720939,True
7650,0,,,False,8,0.14984439152583107,0.7444701293363687,True,92,0.09265876180840897,0.705743696906991,True
7651,0,,,False,8,-0.1519644266529801,0.7180365840771877,True,92,0.09225670952736272,0.6663320569348162,True
7652,0,,,False,8,-0.1685340501235671,0.7308074328346862,True,92,0.03100280644657549,0.6459916551036945,True
7653,0,,,False,8,-0.21787137133617496,0.6845756134264777,True,92,0.039587099630062204,0.6527257685719426,True
7654,0,,,False,8,0.20942760197899485,0.7095639673894834,True,92,0.11265404119410687,0.6470429556020197,True
7655,0,,,False,8,0.23915982910954015,0.6966042534781225,True,92,-0.015975525077235937,0.6356613859412744,True
7656,0,,,False,8,0.319168386509033,0.7666847382402114,True,92,0.09626394769433726,0.6349539733896975,True
7657,0,,,False,8,0.06331952915986536,0.7141473856795953,True,92,0.09824294794794404,0.6420080009178586,True
7658,0,,,False,8,-0.15330424790733996,0.685782454564102,True,92,0.06271387983840607,0.6379311268987425,True
7659,0,,,False,8,-0.22152694836197678,0.6639522234284546,True,92,-0.01904962848060854,0.6414932858036393,True
7660,0,,,False,8,-0.29280759295521286,0.8190285313238087,True,92,0.01967198312267243,0.7083473962134393,True
7661,0,,,False,8,-0.28645439321158167,0.8147771457210332,True,92,0.09306242953174375,0.6793254644972275,True
7662,0,,,False,8,-0.19379347445506206,0.8739239098616821,True,92,0.15223211252542904,0.6957597881490789,True
7663,0,,,False,7,0.0274690386702726,0.8069518058814307,True,93,0.040413785250490344,0.6818119421455933,True
7664,0,,,False,7,0.35242518633635894,0.8405077036509643,True,93,0.18118916541396216,0.7063504368172008,True
7665,0,,,False,7,0.3404839328341066,0.8366077496585981,True,93,0.08542741703825435,0.6479036977307405,True
7666,0,,,False,7,0.34594777493423257,0.8561420940414866,True,93,0.03433368909630001,0.6521270800224979,True
7667,0,,,False,7,0.13386540283882709,0.7789117885594369,True,93,0.0348677088886587,0.6400437082661143,True
7668,0,,,False,7,0.1286854647357832,0.7758872856394715,True,93,0.13060086882297908,0.6418069258525299,True
7669,0,,,False,7,-0.12639703858825493,0.715898100779703,True,93,0.10935892218544262,0.6633460083254233,True
