time,role,sample_count,orientation_order_phi,nematic_order_psi,folded_vector_x,folded_vector_y,sample_too_small,interpretation_warning
63,forager,100,-0.06260396527076503,0.6474923131604126,0.6459778667721917,-0.0442593633287944,False,
63,transporter,0,,,,,True,insufficient sample; do not over-interpret
63,follower,0,,,,,True,insufficient sample; do not over-interpret
64,forager,100,-0.09981969713091524,0.6014883255283192,0.5966527818665174,-0.07611611943476454,False,
64,transporter,0,,,,,True,insufficient sample; do not over-interpret
64,follower,0,,,,,True,insufficient sample; do not over-interpret
65,forager,100,-0.11008642877564163,0.630282281445112,0.6253045435985954,-0.07905682803279922,False,
65,transporter,0,,,,,True,insufficient sample; do not over-interpret
65,follower,0,,,,,True,insufficient sample; do not over-interpret
66,forager,100,0.061615781127884094,0.5979066617879341,0.5954236238412527,0.05443422069012561,False,
66,transporter,0,,,,,True,insufficient sample; do not over-interpret
66,follower,0,,,,,True,insufficient sample; do not over-interpret
67,forager,100,0.057850706990900516,0.6506826605747034,0.6487457480194183,0.05016850804339322,False,
67,transporter,0,,,,,True,insufficient sample; do not over-interpret
67,follower,0,,,,,True,insufficient sample; do not over-interpret
68,forager,100,0.008674787116899533,0.6313126058319543,0.6312010618400704,0.011867005279348235,False,
68,transporter,0,,,,,True,insufficient sample; do not over-interpret
68,follower,0,,,,,True,insufficient sample; do not over-interpret
69,forager,100,0.022081957252791547,0.6578734772433692,0.6573939652865569,0.025113471785060494,False,
69,transporter,0,,,,,True,insufficient sample; do not over-interpret
69,follower,0,,,,,True,insufficient sample; do not over-interpret
70,forager,100,-0.11642944564047011,0.6266605893545316,0.6212897839005613,-0.08186878935811043,False,
70,transporter,0,,,,,True,insufficient sample; do not over-interpret
70,follower,0,,,,,True,insufficient sample; do not over-interpret
71,forager,100,-0.0884648723655417,0.6092773012240337,0.6064431493480166,-0.058698691601271114,False,
71,transporter,0,,,,,True,insufficient sample; do not over-interpret
71,follower,0,,,,,True,insufficient sample; do not over-interpret
72,forager,100,-0.057431323125409085,0.6207374689905898,0.6192552362252411,-0.04287141024580651,False,
72,transporter,0,,,,,True,insufficient sample; do not over-interpret
72,follower,0,,,,,True,insufficient sample; do not over-interpret
73,forager,100,0.09747200136886013,0.6145822584383764,0.6106122019132133,0.06974303737228921,False,
73,transporter,0,,,,,True,insufficient sample; do not over-interpret
73,follower,0,,,,,True,insufficient sample; do not over-interpret
74,forager,100,-0.0004367900255696311,0.628525901248739,0.6285158757823068,0.003549990160483608,False,
74,transporter,0,,,,,True,insufficient sample; do not over-interpret
74,follower,0,,,,,True,insufficient sample; do not over-interpret
75,forager,100,-0.11567222018816738,0.6184872396562304,0.6129452948702354,-0.08261072033352368,False,
75,transporter,0,,,,,True,insufficient sample; do not over-interpret
75,follower,0,,,,,True,insufficient sample; do not over-interpret
76,forager,100,-0.07230955394242457,0.626923638213736,0.6251926854907147,-0.046554851090466975,False,
76,transporter,0,,,,,True,insufficient sample; do not over-interpret
76,follower,0,,,,,True,insufficient sample; do not over-interpret
77,forager,100,-0.160465703470178,0.6050709908788229,0.5900427742197147,-0.13401652358639715,False,
77,transporter,0,,,,,True,insufficient sample; do not over-interpret
77,follower,0,,,,,True,insufficient sample; do not over-interpret
78,forager,100,-0.07732424593625177,0.6492063574601661,0.6456395002731052,-0.06795976937712413,False,
78,transporter,0,,,,,True,insufficient sample; do not over-interpret
78,follower,0,,,,,True,insufficient sample; do not over-interpret
79,forager,100,-0.07359177499028213,0.6223886751673235,0.6180371964553072,-0.07346895108955989,False,
79,transporter,0,,,,,True,insufficient sample; do not over-interpret
79,follower,0,,,,,True,insufficient sample; do not over-interpret
80,forager,100,-0.13275686417380814,0.6277008518383621,0.6176735967877842,-0.11174832092629931,False,
80,transporter,0,,,,,True,insufficient sample; do not over-interpret
80,follower,0,,,,,True,insufficient sample; do not over-interpret
81,forager,100,-0.06227320470791499,0.6239816526691161,0.6206493497909743,-0.06440098967968001,False,
81,transporter,0,,,,,True,insufficient sample; do not over-interpret
81,follower,0,,,,,True,insufficient sample; do not over-interpret
82,forager,100,-0.07547564786678959,0.6075372101424282,0.6041447631127974,-0.06411370298950818,False,
82,transporter,0,,,,,True,insufficient sample; do not over-interpret
82,follower,0,,,,,True,insufficient sample; do not over-interpret
83,forager,100,-0.13494474159475897,0.6563887811070388,0.6457315019062118,-0.11780093127446888,False,
83,transporter,0,,,,,True,insufficient sample; do not over-interpret
83,follower,0,,,,,True,insufficient sample; do not over-interpret
84,forager,100,-0.08511031134788678,0.6431242961016496,0.6392570540030612,-0.07042214952392137,False,
84,transporter,0,,,,,True,insufficient sample; do not over-interpret
84,follower,0,,,,,True,insufficient sample; do not over-interpret
85,forager,100,-0.08294312960001941,0.6660919931699766,0.6635833779864084,-0.05775503290016798,False,
85,transporter,0,,,,,True,insufficient sample; do not over-interpret
85,follower,0,,,,,True,insufficient sample; do not over-interpret
86,forager,100,-0.10125747899514029,0.6138797768041857,0.6087895593082777,-0.07889013148924208,False,
86,transporter,0,,,,,True,insufficient sample; do not over-interpret
86,follower,0,,,,,True,insufficient sample; do not over-interpret
87,forager,100,-0.07812205188736629,0.6364073152900672,0.6338219337098603,-0.057306433347439525,False,
87,transporter,0,,,,,True,insufficient sample; do not over-interpret
87,follower,0,,,,,True,insufficient sample; do not over-interpret
88,forager,100,-0.020965601888086223,0.6222939615581506,0.621711772554848,-0.026911827482465407,False,
88,transporter,0,,,,,True,insufficient sample; do not over-interpret
88,follower,0,,,,,True,insufficient sample; do not over-interpret
89,forager,100,0.04804459760481056,0.6494146254442429,0.6489094112942142,0.025611163087268855,False,
89,transporter,0,,,,,True,insufficient sample; do not over-interpret
89,follower,0,,,,,True,insufficient sample; do not over-interpret
90,forager,100,-0.0379999660988076,0.6518441577882916,0.6513413833130519,-0.025597039410196573,False,
90,transporter,0,,,,,True,insufficient sample; do not over-interpret
90,follower,0,,,,,True,insufficient sample; do not over-interpret
91,forager,100,0.011318842275141879,0.6567757490120539,0.6567569350105351,0.004971197633589171,False,
91,transporter,0,,,,,True,insufficient sample; do not over-interpret
91,follower,0,,,,,True,insufficient sample; do not over-interpret
92,forager,100,0.10252911729896631,0.6496746304179947,0.6458058144507772,0.07079530655577619,False,
92,transporter,0,,,,,True,insufficient sample; do not over-interpret
92,follower,0,,,,,True,insufficient sample; do not over-interpret
93,forager,100,0.054857780360722884,0.6214402349727844,0.6206671609439864,0.030987755142332235,False,
93,transporter,0,,,,,True,insufficient sample; do not over-interpret
93,follower,0,,,,,True,insufficient sample; do not over-interpret
94,forager,100,-0.0445868538417741,0.6254601135212485,0.6246534279647148,-0.0317560787557903,False,
94,transporter,0,,,,,True,insufficient sample; do not over-interpret
94,follower,0,,,,,True,insufficient sample; do not over-interpret
95,forager,100,0.03908624589144599,0.6081214408662522,0.6076245493570976,0.02457832093188366,False,
95,transporter,0,,,,,True,insufficient sample; do not over-interpret
95,follower,0,,,,,True,insufficient sample; do not over-interpret
96,forager,100,0.12392410998021579,0.6194098440146221,0.6142158010583015,0.08004688996161803,False,
96,transporter,0,,,,,True,insufficient sample; do not over-interpret
96,follower,0,,,,,True,insufficient sample; do not over-interpret
97,forager,100,-0.06719682246523366,0.6065042187808116,0.6044999602839163,-0.0492662705678661,False,
97,transporter,0,,,,,True,insufficient sample; do not over-interpret
97,follower,0,,,,,True,insufficient sample; do not over-interpret
98,forager,100,0.09039103337218514,0.5953997826404068,0.5932013708230087,0.05111785228222177,False,
98,transporter,0,,,,,True,insufficient sample; do not over-interpret
98,follower,0,,,,,True,insufficient sample; do not over-interpret
99,forager,100,0.04062730466570397,0.5988639361315767,0.5984599976364334,0.021991935522035197,False,
99,transporter,0,,,,,True,insufficient sample; do not over-interpret
99,follower,0,,,,,True,insufficient sample; do not over-interpret
100,forager,100,-0.15533237191913493,0.6041824821055167,0.5925832457707372,-0.1178200683882047,False,
100,transporter,0,,,,,True,insufficient sample; do not over-interpret
100,follower,0,,,,,True,insufficient sample; do not over-interpret
101,forager,100,-0.03281918373345573,0.5836410528743777,0.5827448562460215,-0.032331271535712365,False,
101,transporter,0,,,,,True,insufficient sample; do not over-interpret
101,follower,0,,,,,True,insufficient sample; do not over-interpret
102,forager,100,-0.08382349520898993,0.6174722176970352,0.6127104224448321,-0.07653677452813257,False,
102,transporter,0,,,,,True,insufficient sample; do not over-interpret
102,follower,0,,,,,True,insufficient sample; do not over-interpret
103,forager,100,-0.11960930242323085,0.6333937207257364,0.6241872731583739,-0.10760043439459575,False,
103,transporter,0,,,,,True,insufficient sample; do not over-interpret
103,follower,0,,,,,True,insufficient sample; do not over-interpret
104,forager,100,-0.08901361787008893,0.6548761978729168,0.6515657734768904,-0.06576379987462241,False,
104,transporter,0,,,,,True,insufficient sample; do not over-interpret
104,follower,0,,,,,True,insufficient sample; do not over-interpret
105,forager,100,-0.02747369915660685,0.6505310471719439,0.6501882455914102,-0.021116075141699855,False,
105,transporter,0,,,,,True,insufficient sample; do not over-interpret
105,follower,0,,,,,True,insufficient sample; do not over-interpret
106,forager,100,-0.07642199381180424,0.6773440331311695,0.6749120205161521,-0.05734722121606233,False,
106,transporter,0,,,,,True,insufficient sample; do not over-interpret
106,follower,0,,,,,True,insufficient sample; do not over-interpret
107,forager,100,0.08179475322336058,0.6779785768326198,0.674941040172816,0.06410571686223966,False,
107,transporter,0,,,,,True,insufficient sample; do not over-interpret
107,follower,0,,,,,True,insufficient sample; do not over-interpret
108,forager,100,-0.023795586362034493,0.6682284344169105,0.6680109972478446,-0.017045472103037626,False,
108,transporter,0,,,,,True,insufficient sample; do not over-interpret
108,follower,0,,,,,True,insufficient sample; do not over-interpret
109,forager,100,0.06566578564367502,0.6599136226019987,0.6579896413158507,0.05035495225627112,False,
109,transporter,0,,,,,True,insufficient sample; do not over-interpret
109,follower,0,,,,,True,insufficient sample; do not over-interpret
110,forager,100,-0.0026485149502124194,0.6546278635062114,0.6546171897121892,-0.003738263236143202,False,
110,transporter,0,,,,,True,insufficient sample; do not over-interpret
110,follower,0,,,,,True,insufficient sample; do not over-interpret
