leg_id,ant_id,source_role,transport_start_time,departure_x,departure_y,outbound_sample_count,outbound_path_length,outbound_endpoint_distance,outbound_path_efficiency,memory_waypoint_count,memory_path_length,nest_food_straight_distance,outbound_max_axis_distance,actual_return_distance,distance_increasing_steps,status,delivery_time,transport_time_steps,actual_return_endpoint_distance,actual_return_path_efficiency,site_axis_distance_over_actual_return,memory_to_outbound_length_ratio,memory_shortening_fraction,actual_to_memory_length_ratio,return_max_axis_distance,return_p90_axis_distance,distance_increasing_step_fraction,repeated_return_cell_fraction,anomalously_long_vs_site_axis,possible_looping,far_from_main_axis
66,35,follower,2671,239.473846788255,236.85859695842694,2672,1602.599999999999,209.5468405256362,0.13075429959168622,892,1549.312897401645,212.13203435596427,97.30403932295546,1167.0000000000057,772,completed_delivery,4616.0,1945,212.15003927030028,0.1817909505315332,0.18177552215592394,0.9667495927877486,0.033250407212251365,0.7532371297993989,97.23698338420324,75.28458223100839,0.3969151670951157,0.06526207605344292,True,False,True
67,11,follower,2687,241.0399510710673,236.97301364039552,2688,1611.2118279604001,210.7466098377155,0.13080006376597625,897,1556.7481348274591,212.13203435596427,140.6286923561691,1553.999999999947,1080,completed_delivery,5277.0,2590,212.6648150147159,0.13684994531191966,0.13650710061516827,0.9661970622435875,0.03380293775641252,0.9982346952817666,140.33883225605973,124.24669034945737,0.416988416988417,0.06831339251254342,True,False,True
68,58,follower,2690,241.0444512427619,236.83318288129766,2691,1612.5836281170768,210.6523435575301,0.13063033748116182,898,1558.6922626454343,212.13203435596427,195.0768625028666,1555.7999999999467,972,completed_delivery,5283.0,2593,210.71627644077353,0.13543918012648204,0.13634916721684762,0.9665807313605382,0.03341926863946176,0.9981444299719697,194.85686499141764,168.9192364712553,0.37485537986887774,0.07979953739398615,True,False,True
69,9,follower,2709,239.7309510319403,236.68464910753542,2710,1624.9984526860917,209.60854939799114,0.1289899993760069,904,1564.4880291175414,212.13203435596427,127.41963312985257,1561.7999999999458,1129,completed_delivery,5312.0,2603,211.63007417499887,0.13550395324305686,0.13582535174540378,0.9627627808084815,0.037237219191518456,0.9982818474366264,127.19485679085679,94.15062975703185,0.43373031117940836,0.06912442396313367,True,False,True
70,85,follower,2720,239.27993380613796,236.64908145947422,2721,1630.882909988342,209.26168242196763,0.12831189850622907,908,1576.8086160856465,212.13203435596427,91.54573979800826,1574.399999999944,1159,completed_delivery,5344.0,2624,207.61578014199748,0.13186977905361083,0.13473833482975853,0.9668435461727403,0.033156453827259735,0.9984724740459107,91.34240363973288,68.53845580499173,0.4416920731707317,0.06209523809523809,True,False,True
71,22,follower,2778,240.31648898501524,236.55828982430526,2779,1665.1883317832874,209.93898917782582,0.12607522234616997,927,1595.457395051656,212.13203435596427,108.22717173902517,1592.999999999941,1103,completed_delivery,5433.0,2655,207.8257185287277,0.1304618446508069,0.133165118867528,0.9581242941710053,0.04187570582899469,0.9984597551402271,108.20377822809755,94.13355660624012,0.41544256120527306,0.06701807228915657,True,False,True
72,2,follower,2803,239.49965077912313,236.7269790374962,2804,1681.5823752820593,209.47303396988744,0.1245689994430107,936,1622.254460571825,212.13203435596427,170.19029751150705,1619.399999999937,1175,completed_delivery,5502.0,2699,206.88669946186204,0.1277551558984007,0.13099421659625324,0.9647189958801257,0.03528100411987434,0.9982404359850664,169.6073729853193,132.2944033464239,0.43534642460170436,0.05888888888888888,True,False,True
73,15,follower,2814,239.19263267124305,236.87000971815795,2815,1686.7630612578305,209.3543441106209,0.12411603557081928,939,1627.9441841616451,212.13203435596427,180.4243869351368,291.5999999999996,50,completed_delivery,3300.0,486,208.38116879922657,0.7146130617257436,0.72747611233184,0.9651291408691842,0.03487085913081578,0.17912162028464576,27.954348955308973,23.92833908132958,0.102880658436214,0.08008213552361398,False,False,True
74,74,follower,2819,237.3679075672041,237.6727676313654,2820,1689.6704268491762,208.62537353026656,0.12347104513115144,941,1627.3487406802506,212.13203435596427,169.33584260456817,1624.7999999999363,1184,completed_delivery,5527.0,2708,209.80887417253263,0.1291290461426273,0.1305588591555715,0.9631160697502764,0.036883930249723584,0.9984338079376589,169.26429240520068,151.08751555400977,0.43722304283604135,0.07862679955703211,True,False,True
75,38,follower,2856,239.38761555668285,236.94475399038686,2857,1712.4653542320025,209.54574776646407,0.1223649560258929,953,1647.0760526157665,212.13203435596427,140.77653167733104,1644.5999999999333,1176,completed_delivery,5597.0,2741,207.57404434353123,0.12621552009214376,0.12898700860754767,0.9618156936987718,0.038184306301228155,0.9984966980657021,140.49735831398672,125.23642874869047,0.4290404961692813,0.07366885485047414,True,False,True
