time,ant_id,from_role,to_role,reason,x,y
2386,50,follower,transporter,food_reached_from_trail,238.09305173463417,236.96113560997546
2389,10,forager,follower,pheromone_sensed,180.80514741237548,48.03920998353793
2395,23,transporter,follower,food_deposited_at_nest,88.07103725783485,91.52071851113728
2422,41,transporter,follower,food_deposited_at_nest,88.51334695768261,92.46470813202015
2432,28,forager,follower,pheromone_sensed,96.08140678369725,185.21620212107325
2435,19,forager,follower,pheromone_sensed,232.0515930858183,54.37112590195316
2438,42,forager,follower,pheromone_sensed,59.8612087506602,111.29651982688165
2440,96,forager,follower,pheromone_sensed,70.50318579478882,39.355929869949684
2441,17,forager,follower,pheromone_sensed,162.40367656536702,56.973391790901964
2446,88,follower,transporter,food_reached_from_trail,239.31054338272745,236.94373901050093
2465,65,follower,transporter,food_reached_from_trail,238.86202386683266,236.58918734073208
2467,77,follower,transporter,food_reached_from_trail,239.07821352206633,237.12163694026836
2469,3,follower,transporter,food_reached_from_trail,240.81737838759682,236.74451393741128
2471,26,forager,follower,pheromone_sensed,95.56574410709916,184.067345428326
2471,54,transporter,follower,food_deposited_at_nest,89.5220206355372,92.94720789944508
2508,24,follower,transporter,food_reached_from_trail,242.1031386874096,237.43128172549316
2515,64,forager,follower,pheromone_sensed,210.0725286766686,254.12963903420598
2539,74,forager,follower,pheromone_sensed,110.74334066342746,242.21667430492823
2543,14,forager,follower,pheromone_sensed,75.5425948576943,159.42540976491352
2554,49,follower,transporter,food_reached_from_trail,239.70506916537502,236.67491326979672
2566,27,follower,transporter,food_reached_from_trail,241.48226413395895,237.12265239718758
2568,6,follower,transporter,food_reached_from_trail,239.68995572729963,236.620167914665
2598,78,follower,transporter,food_reached_from_trail,239.29423594993253,236.7665047162108
2606,91,forager,follower,pheromone_sensed,64.44470896782039,169.83396188703583
2617,82,follower,transporter,food_reached_from_trail,239.37433600894076,236.73732095269193
2619,89,forager,follower,pheromone_sensed,45.48088150885603,158.95702712843453
2637,48,follower,transporter,food_reached_from_trail,237.2881118009228,237.69674817474217
2650,34,transporter,follower,food_deposited_at_nest,87.54239210728382,91.56942700741996
2671,35,follower,transporter,food_reached_from_trail,239.473846788255,236.85859695842694
2679,87,transporter,follower,food_deposited_at_nest,88.21193860269128,87.61067001246609
2687,11,follower,transporter,food_reached_from_trail,241.0399510710673,236.97301364039552
2690,58,follower,transporter,food_reached_from_trail,241.0444512427619,236.83318288129766
2704,81,transporter,follower,food_deposited_at_nest,92.90604545545767,89.99425472078028
2709,9,follower,transporter,food_reached_from_trail,239.7309510319403,236.68464910753542
2720,85,follower,transporter,food_reached_from_trail,239.27993380613796,236.64908145947422
2742,30,transporter,follower,food_deposited_at_nest,92.25346258690043,91.97538203910754
2749,61,forager,follower,pheromone_sensed,60.60111435410731,18.788341013526786
2778,22,follower,transporter,food_reached_from_trail,240.31648898501524,236.55828982430526
2788,51,forager,follower,pheromone_sensed,100.54614607624148,233.47977299434234
2797,97,transporter,follower,food_deposited_at_nest,90.20302978763968,92.66015341927104
2803,2,follower,transporter,food_reached_from_trail,239.49965077912313,236.7269790374962
2814,15,follower,transporter,food_reached_from_trail,239.19263267124305,236.87000971815795
2819,74,follower,transporter,food_reached_from_trail,237.3679075672041,237.6727676313654
2834,53,transporter,follower,food_deposited_at_nest,92.71337348881866,91.12503896703264
2856,38,follower,transporter,food_reached_from_trail,239.38761555668285,236.94475399038686
2865,69,follower,transporter,food_reached_from_trail,239.70391909021842,236.88551987403693
2873,44,forager,follower,pheromone_sensed,49.47727870797618,36.75868283000629
2876,25,follower,transporter,food_reached_from_trail,240.84384111584507,236.94505013355956
2883,41,follower,transporter,food_reached_from_trail,240.21855308242596,236.75541748273523
2892,23,follower,transporter,food_reached_from_trail,239.46287508452423,236.71799349472877
2894,42,follower,transporter,food_reached_from_trail,239.25458865839605,236.98531208014577
2915,55,transporter,follower,food_deposited_at_nest,92.67614408487933,88.6866926928684
2926,80,follower,transporter,food_reached_from_trail,238.7966992923583,236.66216185419182
2928,32,follower,transporter,food_reached_from_trail,241.66745369965497,237.17831839615195
2932,54,follower,transporter,food_reached_from_trail,239.75936748906003,236.8967694563831
2955,13,forager,follower,pheromone_sensed,131.16480010558405,285.4252567296437
2960,10,follower,transporter,food_reached_from_trail,240.82283768065636,236.83880131720045
2981,47,forager,follower,pheromone_sensed,86.77120586441175,280.6923040086509
3047,57,transporter,follower,food_deposited_at_nest,91.81718622073423,91.96103102378957
3072,63,transporter,follower,food_deposited_at_nest,92.63642714046155,90.99244652819921
3082,86,transporter,follower,food_deposited_at_nest,91.50536926795378,88.07957870557956
3124,34,follower,transporter,food_reached_from_trail,239.74449780541565,236.89766375862803
3143,79,follower,transporter,food_reached_from_trail,239.77830045431313,236.90384114232802
3155,81,follower,transporter,food_reached_from_trail,239.76132971825993,236.8799097641091
3157,40,forager,follower,pheromone_sensed,22.932391925198186,6.245362359728898
3160,89,follower,transporter,food_reached_from_trail,237.72469522430993,237.9786022189184
3171,96,follower,transporter,food_reached_from_trail,240.0010423008244,236.60466459351713
3173,16,transporter,follower,food_deposited_at_nest,92.48465488321729,90.31960708000663
3208,30,follower,transporter,food_reached_from_trail,239.64805854813815,236.53052924825533
3239,97,follower,transporter,food_reached_from_trail,240.11736304708168,236.74394563839056
3253,60,transporter,follower,food_deposited_at_nest,92.05318073696897,88.46198242633187
3263,92,transporter,follower,food_deposited_at_nest,87.95250388824806,88.1503407225225
3264,72,forager,follower,pheromone_sensed,47.05759928682362,291.9383082979596
3274,51,follower,transporter,food_reached_from_trail,237.58641547792215,237.34915873258944
3279,53,follower,transporter,food_reached_from_trail,239.96776991514471,236.72259138695875
3280,33,transporter,follower,food_deposited_at_nest,88.0928406019855,91.82065660919771
3300,15,transporter,follower,food_deposited_at_nest,88.74799565363513,92.68567387416984
3328,14,follower,transporter,food_reached_from_trail,238.0891978378417,237.54874145542632
3332,12,transporter,follower,food_deposited_at_nest,91.9940177078456,91.55439420784776
3340,41,transporter,follower,food_deposited_at_nest,88.51334695768261,92.46470813202015
3357,26,follower,transporter,food_reached_from_trail,238.07483894746383,237.6487591872727
3381,55,follower,transporter,food_reached_from_trail,239.85455651568486,236.91117832675283
3383,23,transporter,follower,food_deposited_at_nest,87.59915964107216,91.76682374571075
3384,69,transporter,follower,food_deposited_at_nest,91.67450989607819,92.29775653765319
3389,54,transporter,follower,food_deposited_at_nest,89.5220206355372,92.94720789944508
3397,8,transporter,follower,food_deposited_at_nest,89.17725382027189,92.47006666778827
3416,31,transporter,follower,food_deposited_at_nest,92.45085027462618,90.4232290592226
3422,59,transporter,follower,food_deposited_at_nest,92.73031012232002,89.39431448795419
3434,4,transporter,follower,food_deposited_at_nest,92.43466913833294,91.32745584246193
3450,39,transporter,follower,food_deposited_at_nest,88.83650910455218,87.79089997248097
3491,57,follower,transporter,food_reached_from_trail,239.41462380409084,236.55543607814488
3491,61,follower,transporter,food_reached_from_trail,240.371701919928,236.85639230388136
3512,63,follower,transporter,food_reached_from_trail,239.51785872721874,236.57093156602218
3562,45,transporter,follower,food_deposited_at_nest,90.52746838424551,92.47715881891112
3569,50,transporter,follower,food_deposited_at_nest,87.4110372326796,88.54796250687797
3571,1,transporter,follower,food_deposited_at_nest,91.90748534211492,88.14378313786716
3572,52,forager,follower,pheromone_sensed,48.472085320430956,229.9849005055527
3579,86,follower,transporter,food_reached_from_trail,240.57336944358082,236.9082901830716
3579,94,transporter,follower,food_deposited_at_nest,88.59588263802983,92.2958913296402
3589,34,transporter,follower,food_deposited_at_nest,87.54239210728382,91.56942700741996
3597,44,follower,transporter,food_reached_from_trail,238.72635055820516,237.2253036143339
3602,81,transporter,follower,food_deposited_at_nest,92.90604545545767,89.99425472078028
3620,67,transporter,follower,food_deposited_at_nest,92.97470466251998,89.91055563454837
3630,16,follower,transporter,food_reached_from_trail,239.49011368076933,236.62325657911427
3632,19,follower,transporter,food_reached_from_trail,241.09822168694902,236.6184591424543
3641,62,transporter,follower,food_deposited_at_nest,91.96060504487558,88.24964520307968
3652,5,transporter,follower,food_deposited_at_nest,90.11491740193327,87.1357748056023
3660,30,transporter,follower,food_deposited_at_nest,92.25346258690043,91.97538203910754
3670,93,transporter,follower,food_deposited_at_nest,91.68087257701404,92.16627219301951
3674,97,transporter,follower,food_deposited_at_nest,90.20273459055807,92.7095401427405
3695,91,follower,transporter,food_reached_from_trail,238.02494644130584,237.50764634051086
3696,84,follower,transporter,food_reached_from_trail,240.94077673544965,236.954122465264
3719,53,transporter,follower,food_deposited_at_nest,92.71337348881866,91.12503896703264
3767,60,follower,transporter,food_reached_from_trail,240.29247875562612,236.85448149255058
3778,12,follower,transporter,food_reached_from_trail,239.99403355722407,236.62978770333652
3794,92,follower,transporter,food_reached_from_trail,238.5553179295728,237.08995254031706
3811,46,transporter,follower,food_deposited_at_nest,87.25827243186342,90.23089133672865
3815,99,forager,follower,pheromone_sensed,4.434419872166049,207.28101455561534
3824,15,follower,transporter,food_reached_from_trail,239.5954533228715,236.90680776881985
3829,69,follower,transporter,food_reached_from_trail,239.53240230972864,236.63619591899464
3837,54,follower,transporter,food_reached_from_trail,239.34277278261118,237.01976573177308
3840,36,transporter,follower,food_deposited_at_nest,89.20789083162978,87.18873635021983
3840,55,transporter,follower,food_deposited_at_nest,92.67614408487933,88.6866926928684
3866,31,follower,transporter,food_reached_from_trail,239.72741918450575,236.80528957480513
3872,68,transporter,follower,food_deposited_at_nest,87.374190232111,90.88180505584246
3881,4,follower,transporter,food_reached_from_trail,239.24357825031717,236.51123195074672
3881,66,transporter,follower,food_deposited_at_nest,89.82431247837899,87.11139976728452
3893,18,transporter,follower,food_deposited_at_nest,92.10989187464669,91.77645199084373
3896,7,transporter,follower,food_deposited_at_nest,89.20852513574583,92.49761101505631
3915,59,follower,transporter,food_reached_from_trail,240.00553711994996,236.597743343886
3919,37,transporter,follower,food_deposited_at_nest,89.53566875608838,92.5228788993775
3929,57,transporter,follower,food_deposited_at_nest,91.91284534113319,92.02989273480411
3930,73,transporter,follower,food_deposited_at_nest,87.35490261894627,89.66007345090647
3947,63,transporter,follower,food_deposited_at_nest,92.63642714046155,90.99244652819921
3955,76,transporter,follower,food_deposited_at_nest,89.66227496081372,87.35013355423814
3958,87,follower,transporter,food_reached_from_trail,239.34796339692898,237.04388539703552
3960,90,transporter,follower,food_deposited_at_nest,88.97593610883493,87.76713547932123
3961,23,follower,transporter,food_reached_from_trail,240.06281993763216,236.6785055796464
3974,33,follower,transporter,food_reached_from_trail,239.9187219199466,236.7878099255324
3981,39,follower,transporter,food_reached_from_trail,239.46496299624314,236.83312553481247
4000,98,transporter,follower,food_deposited_at_nest,91.54088339055855,87.71751546485672
4009,45,follower,transporter,food_reached_from_trail,239.80677585056173,236.87210528634702
4032,94,follower,transporter,food_reached_from_trail,239.15630740402463,236.56104441284327
4044,86,transporter,follower,food_deposited_at_nest,91.66905262259438,87.86785520467572
4051,0,transporter,follower,food_deposited_at_nest,89.04062012016877,92.58988786759616
4051,56,transporter,follower,food_deposited_at_nest,87.35233280010779,91.09620503807
4074,16,transporter,follower,food_deposited_at_nest,92.57853369653435,90.45224980310272
4081,81,follower,transporter,food_reached_from_trail,239.9817800939699,236.61916347569934
4085,34,follower,transporter,food_reached_from_trail,239.76457231547326,236.46781485341344
4109,30,follower,transporter,food_reached_from_trail,239.83764692109463,236.8900196078233
4112,50,follower,transporter,food_reached_from_trail,239.586328126284,237.00360544513035
4113,93,follower,transporter,food_reached_from_trail,240.14425291303766,236.68867770363354
4117,97,follower,transporter,food_reached_from_trail,240.1452551133927,236.53790859411973
4153,8,follower,transporter,food_reached_from_trail,239.21827011519525,236.994734107651
4165,83,transporter,follower,food_deposited_at_nest,87.9608190914925,91.69099478602975
4170,41,follower,transporter,food_reached_from_trail,239.1464317549079,237.1008985600468
4220,12,transporter,follower,food_deposited_at_nest,92.13708408662283,91.63191021799311
4242,60,transporter,follower,food_deposited_at_nest,92.08840744579493,88.45148748143646
4270,69,transporter,follower,food_deposited_at_nest,91.67450989607819,92.29775653765319
4278,54,transporter,follower,food_deposited_at_nest,89.5220206355372,92.94720789944508
4282,52,follower,transporter,food_reached_from_trail,237.1269027974738,238.59358352380056
4310,31,transporter,follower,food_deposited_at_nest,92.71738717144272,90.62453204052458
4320,92,transporter,follower,food_deposited_at_nest,87.82467180009341,88.13246795981439
4322,4,transporter,follower,food_deposited_at_nest,92.52970860792777,91.4143909899326
4325,68,follower,transporter,food_reached_from_trail,239.58574395123043,236.94916544322652
4335,15,transporter,follower,food_deposited_at_nest,88.74799565363513,92.68567387416984
4336,18,follower,transporter,food_reached_from_trail,239.82970850409814,236.61432772543256
4339,7,follower,transporter,food_reached_from_trail,239.7321900186757,236.6312741173214
4354,37,follower,transporter,food_reached_from_trail,239.639638936825,236.84173861059486
4371,57,follower,transporter,food_reached_from_trail,239.2305584940234,237.03240517643897
4375,59,transporter,follower,food_deposited_at_nest,92.73031012232002,89.39431448795419
4392,1,follower,transporter,food_reached_from_trail,240.40513743250523,236.77967189833848
4407,21,transporter,follower,food_deposited_at_nest,90.38810485642512,92.88293468137066
4408,63,follower,transporter,food_reached_from_trail,240.22462604932224,236.71727410900797
4411,62,follower,transporter,food_reached_from_trail,240.41691083349136,236.83188437091115
4427,66,follower,transporter,food_reached_from_trail,240.45508990600524,236.82060084782745
4437,75,transporter,follower,food_deposited_at_nest,92.3935796825661,88.66378466057809
4451,45,transporter,follower,food_deposited_at_nest,90.71551545480041,92.61665731499146
4461,20,transporter,follower,food_deposited_at_nest,87.40278103647262,88.81206551250534
4474,94,transporter,follower,food_deposited_at_nest,88.56191409386456,92.36096281585095
4485,43,transporter,follower,food_deposited_at_nest,90.77436501143715,87.36512184993919
4488,90,follower,transporter,food_reached_from_trail,239.6438039788109,236.86367714500014
4504,0,follower,transporter,food_reached_from_trail,239.858441638256,236.90797971885567
4504,39,transporter,follower,food_deposited_at_nest,88.66910948008343,87.75867302392574
4512,23,transporter,follower,food_deposited_at_nest,87.59915964107216,91.76682374571075
4515,3,transporter,follower,food_deposited_at_nest,92.45854007668406,89.31962964593298
4515,86,follower,transporter,food_reached_from_trail,240.41660341023027,236.6461449527603
4529,16,follower,transporter,food_reached_from_trail,240.42073206869705,236.64004171679372
4536,81,transporter,follower,food_deposited_at_nest,92.90604545545767,89.99425472078028
